water_group,rat_id,rat_number,gender,week,weekly_feed_intake,initial_body_weight,weekly_weight_gain,unique_rat_id,cumulative_weight_gain,current_body_weight,final_body_weight
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,male,1,10.0,59.0,51.0,G1_M1,51.0,110.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,male,2,12.0,59.0,43.0,G1_M1,94.0,153.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,male,3,10.8,59.0,29.0,G1_M1,123.0,182.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,male,4,11.88,59.0,20.0,G1_M1,143.0,202.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,male,5,16.619,59.0,18.0,G1_M1,161.0,220.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,male,6,20.774,59.0,18.0,G1_M1,179.0,238.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,male,7,19.059,59.0,18.0,G1_M1,197.0,256.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,male,8,18.87,59.0,10.0,G1_M1,207.0,266.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,male,9,21.443,59.0,10.0,G1_M1,217.0,276.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,male,10,19.673,59.0,5.0,G1_M1,222.0,281.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,male,11,22.104,59.0,4.0,G1_M1,226.0,285.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,male,12,22.555,59.0,4.0,G1_M1,230.0,289.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,male,13,22.113,59.0,3.0,G1_M1,233.0,292.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,male,14,24.57,59.0,2.0,G1_M1,235.0,294.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,male,15,27.3,59.0,2.0,G1_M1,237.0,296.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,male,1,12.0,67.0,56.0,G1_M2,56.0,123.0,315.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,male,2,14.4,67.0,42.0,G1_M2,98.0,165.0,315.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,male,3,12.96,67.0,28.0,G1_M2,126.0,193.0,315.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,male,4,14.256,67.0,25.0,G1_M2,151.0,218.0,315.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,male,5,17.654,67.0,22.0,G1_M2,173.0,240.0,315.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,male,6,22.068,67.0,18.0,G1_M2,191.0,258.0,315.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,male,7,20.246,67.0,17.0,G1_M2,208.0,275.0,315.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,male,8,20.045,67.0,11.0,G1_M2,219.0,286.0,315.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,male,9,22.779,67.0,9.0,G1_M2,228.0,295.0,315.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,male,10,20.898,67.0,6.0,G1_M2,234.0,301.0,315.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,male,11,23.481,67.0,5.0,G1_M2,239.0,306.0,315.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,male,12,23.96,67.0,3.0,G1_M2,242.0,309.0,315.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,male,13,23.49,67.0,2.0,G1_M2,244.0,311.0,315.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,male,14,26.1,67.0,2.0,G1_M2,246.0,313.0,315.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,male,15,29.0,67.0,2.0,G1_M2,248.0,315.0,315.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,male,1,13.0,70.0,40.0,G1_M3,40.0,110.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,male,2,15.6,70.0,37.0,G1_M3,77.0,147.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,male,3,14.04,70.0,27.0,G1_M3,104.0,174.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,male,4,15.444,70.0,24.0,G1_M3,128.0,198.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,male,5,16.437,70.0,18.0,G1_M3,146.0,216.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,male,6,20.546,70.0,18.0,G1_M3,164.0,234.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,male,7,18.849,70.0,12.0,G1_M3,176.0,246.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,male,8,18.663,70.0,11.0,G1_M3,187.0,257.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,male,9,21.208,70.0,11.0,G1_M3,198.0,268.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,male,10,19.457,70.0,9.0,G1_M3,207.0,277.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,male,11,21.861,70.0,6.0,G1_M3,213.0,283.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,male,12,22.307,70.0,6.0,G1_M3,219.0,289.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,male,13,21.87,70.0,4.0,G1_M3,223.0,293.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,male,14,24.3,70.0,2.0,G1_M3,225.0,295.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,male,15,27.0,70.0,1.0,G1_M3,226.0,296.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,male,1,10.0,66.0,34.0,G1_M4,34.0,100.0,278.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,male,2,12.0,66.0,24.0,G1_M4,58.0,124.0,278.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,male,3,10.8,66.0,24.0,G1_M4,82.0,148.0,278.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,male,4,11.88,66.0,24.0,G1_M4,106.0,172.0,278.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,male,5,17.045,66.0,23.0,G1_M4,129.0,195.0,278.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,male,6,21.307,66.0,16.0,G1_M4,145.0,211.0,278.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,male,7,19.547,66.0,13.0,G1_M4,158.0,224.0,278.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,male,8,19.354,66.0,13.0,G1_M4,171.0,237.0,278.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,male,9,21.993,66.0,13.0,G1_M4,184.0,250.0,278.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,male,10,20.177,66.0,8.0,G1_M4,192.0,258.0,278.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,male,11,22.671,66.0,7.0,G1_M4,199.0,265.0,278.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,male,12,23.134,66.0,5.0,G1_M4,204.0,270.0,278.0
