water_group,rat_id,rat_number,gender,week,weekly_feed_intake,initial_body_weight,weekly_weight_gain
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,,1,10.000,59.000,51.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,,2,12.000,,43.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,,3,10.800,,29.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,,4,11.880,,20.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,,5,16.619,,18.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,,6,20.774,,18.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,,7,19.059,,18.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,,8,18.870,,10.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,,9,21.443,,10.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,,10,19.673,,5.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,,11,22.104,,4.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,,12,22.555,,4.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,,13,22.113,,3.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,,14,24.570,,2.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,,15,27.300,,2.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,,1,12.000,67.000,56.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,,2,14.400,,42.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,,3,12.960,,28.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,,4,14.256,,25.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,,5,17.654,,22.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,,6,22.068,,18.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,,7,20.246,,17.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,,8,20.045,,11.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,,9,22.779,,9.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,,10,20.898,,6.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,,11,23.481,,5.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,,12,23.960,,3.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,,13,23.490,,2.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,,14,26.100,,2.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,,15,29.000,,2.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,,1,13.000,70.000,40.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,,2,15.600,,37.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,,3,14.040,,27.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,,4,15.444,,24.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,,5,16.437,,18.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,,6,20.546,,18.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,,7,18.849,,12.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,,8,18.663,,11.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,,9,21.208,,11.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,,10,19.457,,9.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,,11,21.861,,6.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,,12,22.307,,6.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,,13,21.870,,4.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,,14,24.300,,2.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,,15,27.000,,1.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,,1,10.000,66.000,34.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,,2,12.000,,24.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,,3,10.800,,24.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,,4,11.880,,24.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,,5,17.045,,23.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,,6,21.307,,16.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,,7,19.547,,13.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,,8,19.354,,13.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,,9,21.993,,13.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,,10,20.177,,8.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,,11,22.671,,7.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,,12,23.134,,5.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,,13,22.680,,3.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,,14,25.200,,3.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,,15,28.000,,2.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,5,,1,12.000,62,57.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,5,,2,14.400,,38.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,5,,3,12.960,,28.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,5,,4,14.256,,25.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,5,,5,15.219,,25.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,5,,6,19.024,,21.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,5,,7,17.453,,20.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,5,,8,17.280,,16.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,5,,9,19.637,,13.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,5,,10,18.015,,11.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,5,,11,20.242,,10.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,5,,12,20.655,,10.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,5,,13,20.250,,5.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,5,,14,22.500,,4.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,5,,15,25.000,,2.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,,1,14.000,76,36.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,,2,16.800,,24.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,,3,15.120,,15.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,,4,16.632,,13.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,,5,14.002,,13.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,,6,17.502,,12.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,,7,16.057,,11.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,,8,15.898,,11.000
