group_short,mean,median,std,min,max,count
G01: RO <20 TDS,3.1082636706954583,1.7837863636363638,3.396384059693726,0.19607843137254902,14.5,144
G02: RO 50-75 TDS,2.4848509795824887,1.5401500000000001,2.556534098843741,0.25925925925925924,12.0,142
G03: RO 125-150 TDS,2.783673333001638,1.26725,3.2521896155578647,0.183484375,14.0,149
G04: Telugu Ganga,2.801286276145898,1.5219285714285713,3.0705348324814303,0.25396825396825395,13.5,137
G05: Kalyani Dam,3.0856290916680797,1.7010666666666667,3.2653964110375604,0.2153846153846154,14.0,142
G06: Ground Water,2.3012255158134054,1.4492636363636364,2.26897479931781,0.2653061224489796,10.0,144
G07: RO <20 (Fasting),2.066190308096159,1.6589999999999998,1.2010738566898143,0.5833333333333334,5.3865,94
G08: Kalyani (Fasting),1.9350250931423558,1.322,1.5908313176927416,0.13559322033898305,5.8715,99
G09: BIS Standard,2.160759862597299,1.285706043956044,2.3300263585834906,0.25,11.567,122
G10: Ground (Fasting),1.937363662127633,1.4688333333333334,1.5120840614432707,0.34615384615384615,5.985,96
G11: RO 125-150 (Fasting),2.1596267787647982,1.512,1.511122059458221,0.5,5.67,109
