group_short,Early (1-5),Late (11-15),Middle (6-10),deterioration
G01: RO <20 TDS,0.6139038095238095,5.9243749999999995,1.9035000000000002,5.31047119047619
G02: RO 50-75 TDS,0.6200470588235294,4.60075,1.7036,3.98070294117647
G03: RO 125-150 TDS,0.5121428571428572,5.46525,1.2756875,4.953107142857143
G04: Telugu Ganga,0.8875625,5.4675,1.717277777777778,4.5799375
G05: Kalyani Dam,0.7130799999999999,6.816166666666668,1.885925,6.103086666666668
G06: Ground Water,0.5903225806451613,4.0905000000000005,1.561111111111111,3.500177419354839
G07: RO <20 (Fasting),1.26,4.8927499999999995,2.394,3.6327499999999997
G08: Kalyani (Fasting),0.8770136363636364,5.8175,2.43,4.940486363636364
G09: BIS Standard,0.733399209486166,5.421916666666667,1.6128055555555556,4.6885174571805015
G10: Ground (Fasting),0.8307692307692308,4.6555,2.43,3.824730769230769
G11: RO 125-150 (Fasting),0.9619375000000001,4.544,2.4985,3.5820624999999993
