unique_rat_id,gender,group_short,mean_intake,sd_intake,cv_intake,early_mean,early_sd,early_cv,stability_class,initial_weight,final_weight,total_weight_gain
G1_M1,male,G01: RO <20 TDS,18.65066666666667,5.299866570647478,28.416499342190505,12.2598,2.571579320184388,20.975703683456402,Erratic,59.0,296.0,237.0
G1_M2,male,G01: RO <20 TDS,20.22246666666667,5.026600326074795,24.856514335910855,14.254,2.1410436707363067,15.020651541576447,Moderate,67.0,315.0,248.0
G1_M3,male,G01: RO <20 TDS,19.372133333333334,3.931171451482672,20.292919648237014,14.9042,1.3691070812759685,9.186048773338849,Moderate,70.0,296.0,226.0
G1_M4,male,G01: RO <20 TDS,19.05253333333333,5.550764282854165,29.13399591403855,12.345,2.7527849534607682,22.298784556182813,Erratic,66.0,278.0,212.0
G1_M5,male,G01: RO <20 TDS,17.926066666666664,3.6544041231421156,20.385978648274484,13.767,1.2768762665191955,9.274905691284925,Moderate,62.0,347.0,285.0
G1_F6,female,G01: RO <20 TDS,17.3738,2.4241118903926147,13.952686748970375,15.3108,1.362978796606903,8.902074330583005,Stable,76.0,241.0,165.0
G1_F7,female,G01: RO <20 TDS,18.819666666666663,2.6841176700485145,14.262301865328016,16.4478,1.4106502755821517,8.576528627428297,Stable,76.0,229.0,153.0
G1_F8,female,G01: RO <20 TDS,18.0498,2.5903046759571966,14.350877438848055,15.7386,1.3362485921414473,8.490263378835774,Stable,100.0,245.0,145.0
G1_F9,female,G01: RO <20 TDS,18.798000000000002,3.602712985673832,19.165405818032937,14.7824,1.2173301934972285,8.234996979497431,Moderate,108.0,230.0,122.0
G1_F10,female,G01: RO <20 TDS,18.5218,2.954293780729524,15.950360012145278,15.5542,1.1651284049408466,7.490763941191745,Moderate,117.0,280.0,163.0
G2_M1,male,G02: RO 50-75 TDS,17.063466666666667,2.111342560913271,12.373467843071772,15.980599999999999,1.8939454321600715,11.851528929827863,Stable,74.0,353.0,279.0
G2_M2,male,G02: RO 50-75 TDS,16.821266666666666,2.1281414583308758,12.651493496313451,16.854400000000002,2.627694959465424,15.590557714694226,Stable,77.0,317.0,240.0
G2_M3,male,G02: RO 50-75 TDS,17.3738,2.4241118903926147,13.952686748970375,15.3108,1.362978796606903,8.902074330583005,Stable,74.0,289.0,215.0
G2_M4,male,G02: RO 50-75 TDS,18.22393333333333,3.2829730965058115,18.014624156361116,14.660599999999999,1.1125123819535674,7.588450554230847,Moderate,97.0,346.0,249.0
G2_M5,male,G02: RO 50-75 TDS,19.67,3.5596585109088363,18.09689126033979,15.7978,1.204197741236879,7.622566061330558,Moderate,113.0,354.0,241.0
G2_F6,female,G02: RO 50-75 TDS,16.8462,2.927335019140398,17.376826935097515,13.728,1.0159274088240755,7.400403619056495,Moderate,92.0,271.0,179.0
G2_F7,female,G02: RO 50-75 TDS,16.4802,3.377622519719201,20.495033553714162,12.629999999999999,1.1851717175160736,9.383782403135976,Moderate,96.0,243.0,147.0
G2_F8,female,G02: RO 50-75 TDS,17.420133333333332,3.241511725517381,18.6078468143224,13.849599999999999,1.090567421116182,7.874360422800529,Moderate,112.0,259.0,147.0
G2_F9,female,G02: RO 50-75 TDS,15.927666666666669,2.1684223912021077,13.614187417295529,14.173600000000002,1.3204835477960337,9.31650073231948,Stable,92.0,239.0,147.0
G2_F10,female,G02: RO 50-75 TDS,15.608133333333333,3.4385485074512525,22.030491629051856,11.6146,1.2895913306160214,11.103191936149514,Moderate,102.0,258.0,156.0
G3_M1,male,G03: RO 125-150 TDS,20.563599999999997,2.7354208294676914,13.302246831623313,18.4786,1.8034477536097346,9.759655783499479,Stable,123.0,345.0,222.0
G3_M2,male,G03: RO 125-150 TDS,20.83973333333333,3.2148090026951093,15.426344239986003,17.7066,1.3652903720454481,7.710629776724204,Moderate,130.0,356.0,226.0
G3_M3,male,G03: RO 125-150 TDS,19.415399999999998,2.395380786907525,12.337529934523756,18.235,2.1891694772218986,12.005316573742245,Stable,110.0,342.0,232.0
G3_M4,male,G03: RO 125-150 TDS,19.713266666666666,2.4071922727724178,12.21102678452963,19.1286,2.638670460667645,13.79437314109577,Stable,114.0,383.0,269.0
G3_M5,male,G03: RO 125-150 TDS,17.097466666666666,2.1062071145838934,12.318825681293292,16.082600000000003,1.943883689936206,12.086874572122703,Stable,101.0,370.0,269.0
G3_F6,female,G03: RO 125-150 TDS,14.979066666666665,2.210800193422756,14.759265330880137,12.9284,1.052478883398617,8.140828589760659,Stable,75.0,266.0,191.0
G3_F7,female,G03: RO 125-150 TDS,15.927666666666669,2.1684223912021077,13.614187417295529,14.173600000000002,1.3204835477960337,9.31650073231948,Stable,92.0,304.0,212.0
G3_F8,female,G03: RO 125-150 TDS,15.331933333333332,2.729636984411419,17.803605879741756,12.386399999999998,0.9304777267619035,7.512091703496607,Moderate,114.0,358.0,244.0
G3_F9,female,G03: RO 125-150 TDS,16.756266666666665,4.130411748182475,24.64995234528659,11.858,1.7439667428021668,14.7070900894094,Moderate,122.0,367.0,245.0
G3_F10,female,G03: RO 125-150 TDS,16.127266666666667,2.784530185216341,17.265977197311848,13.172,0.9724176057641076,7.382459806894228,Moderate,120.0,368.0,248.0
G4_M1,male,G04: Telugu Ganga,17.969533333333334,2.1958576543335493,12.21989249025322,17.098,2.1731571503230036,12.710007897549444,Stable,67.0,292.0,225.0
G4_M2,male,G04: Telugu Ganga,17.6932,2.273319416938273,12.848548690673667,17.8698,2.8658203363086105,16.03722669704535,Stable,62.0,302.0,240.0
G4_M3,male,G04: Telugu Ganga,18.819666666666663,2.6841176700485145,14.262301865328016,16.4478,1.4106502755821517,8.576528627428297,Stable,72.0,326.0,254.0
G4_M4,male,G04: Telugu Ganga,20.521066666666666,2.760814876255266,13.453564188940467,18.351,1.7499261412985403,9.53586257587347,Stable,121.0,384.0,263.0
G4_M5,male,G04: Telugu Ganga,20.83973333333333,3.2148090026951093,15.426344239986003,17.7066,1.3652903720454481,7.710629776724204,Moderate,134.0,374.0,240.0
G4_F6,female,G04: Telugu Ganga,17.097466666666666,2.1062071145838934,12.318825681293292,16.082600000000003,1.943883689936206,12.086874572122703,Stable,95.0,262.0,167.0
G4_F7,female,G04: Telugu Ganga,16.225533333333335,2.029204096848483,12.50623973438048,15.067200000000003,1.7179857973801764,11.402156985904323,Stable,89.0,246.0,157.0
G4_F8,female,G04: Telugu Ganga,17.097466666666666,2.1062071145838934,12.318825681293292,16.082600000000003,1.943883689936206,12.086874572122703,Stable,100.0,255.0,155.0
G4_F9,female,G04: Telugu Ganga,17.649866666666664,2.9747597950246742,16.85429046692331,14.5388,1.068563147408706,7.3497341418047295,Moderate,105.0,260.0,155.0
G4_F10,female,G04: Telugu Ganga,17.3738,2.4241118903926147,13.952686748970375,15.3108,1.362978796606903,8.902074330583005,Stable,103.0,230.0,127.0
G5_M1,male,G05: Kalyani Dam,19.94613333333333,4.266480531282139,21.39001309167093,15.0258,1.5538205173056514,10.341016899636966,Moderate,85.0,314.0,229.0
G5_M2,male,G05: Kalyani Dam,19.095866666666666,3.2500864135032,17.019842410067103,15.676000000000002,1.1530967001947414,7.355809518976406,Moderate,76.0,309.0,233.0
G5_M3,male,G05: Kalyani Dam,15.6298,2.4110451260812185,15.425949955093593,13.280000000000001,1.0239374980925349,7.710372726600411,Moderate,49.0,301.0,252.0
G5_M4,male,G05: Kalyani Dam,20.8182,4.2081319438847045,20.2137165743662,16.0412,1.4612539820305028,9.109380732304958,Moderate,102.0,369.0,267.0
G5_M5,male,G05: Kalyani Dam,21.11606666666667,3.836567615286699,18.16895009780877,16.934800000000003,1.2960382710398641,7.653106449676783,Moderate,101.0,370.0,269.0
G5_F6,female,G05: Kalyani Dam,18.22393333333333,3.2829730965058115,18.014624156361116,14.660599999999999,1.1125123819535674,7.588450554230847,Moderate,97.0,225.0,128.0
G5_F7,female,G05: Kalyani Dam,17.862599999999997,2.7555650133606253,15.426449751775362,15.176999999999998,1.1704347482880026,7.711897926388634,Moderate,97.0,227.0,130.0
G5_F8,female,G05: Kalyani Dam,17.926066666666664,3.6544041231421156,20.385978648274484,13.767,1.2768762665191955,9.274905691284925,Moderate,94.0,223.0,129.0
G5_F9,female,G05: Kalyani Dam,19.095866666666666,3.2500864135032,17.019842410067103,15.676000000000002,1.1530967001947414,7.355809518976406,Moderate,115.0,320.0,205.0
G5_F10,female,G05: Kalyani Dam,16.501733333333334,2.410606102405032,14.608199355249743,14.2954,1.18098255702614,8.261276753544077,Stable,84.0,213.0,129.0
G6_M1,male,G06: Ground Water,15.949266666666665,1.9892826225503886,12.472564815208152,15.839000000000002,2.3902625378815605,15.090993988771768,Stable,78.0,292.0,214.0
G6_M2,male,G06: Ground Water,17.3738,2.4241118903926147,13.952686748970375,15.3108,1.362978796606903,8.902074330583005,Stable,92.0,325.0,233.0
G6_M3,male,G06: Ground Water,17.39533333333333,2.1304216774642346,12.247087403504207,16.9762,2.3957295757242716,14.112284113784426,Stable,92.0,334.0,242.0
G6_M4,male,G06: Ground Water,15.927666666666669,2.1684223912021077,13.614187417295529,14.173600000000002,1.3204835477960337,9.31650073231948,Stable,71.0,353.0,282.0
G6_M5,male,G06: Ground Water,15.949266666666665,1.9892826225503886,12.472564815208152,15.839000000000002,2.3902625378815605,15.090993988771768,Stable,70.0,358.0,288.0
G6_F6,female,G06: Ground Water,14.354000000000003,2.0013070728901154,13.942504339488051,12.653400000000001,1.1284672347923972,8.918292591654394,Stable,81.0,247.0,166.0
G6_F7,female,G06: Ground Water,13.609733333333336,1.8877772442238845,13.870787898542346,12.021199999999999,1.0814967406330909,8.996578882583195,Stable,84.0,255.0,171.0
G6_F8,female,G06: Ground Water,15.353533333333333,1.9663162028330563,12.806929585153403,14.0518,1.4969923847501696,10.653385222890801,Stable,75.0,232.0,157.0
G6_F9,female,G06: Ground Water,15.502133333333331,2.5398328366440257,16.383763331352412,12.897,0.9528465248926501,7.388125338393812,Moderate,104.0,259.0,155.0
G6_F10,female,G06: Ground Water,14.7578,2.425353500007782,16.434383851304275,12.264599999999998,0.9049286159692372,7.378378552657545,Moderate,102.0,251.0,149.0
G7_M1,male,G07: RO <20 (Fasting),9.271933333333333,0.9735908106934179,10.500407797295976,8.597000000000001,0.6806518934080766,7.917318755473729,Stable,110.0,157.0,47.0
G7_M2,male,G07: RO <20 (Fasting),8.405400000000002,1.26009250227343,14.991463847924305,7.5222,0.5956628240875874,7.918731542468792,Stable,104.0,156.0,52.0
G7_M3,male,G07: RO <20 (Fasting),9.271933333333333,0.9735908106934179,10.500407797295976,8.597000000000001,0.6806518934080766,7.917318755473729,Stable,101.0,151.0,50.0
