group_short,gender,mean,median,count
G01: RO <20 TDS,female,15.536326376664931,14.350877438848055,5
G01: RO <20 TDS,male,24.617181577730282,24.856514335910855,5
G02: RO 50-75 TDS,female,18.424877269896292,18.6078468143224,5
G02: RO 50-75 TDS,male,15.0178327010113,13.952686748970375,5
G03: RO 125-150 TDS,female,17.618597634103175,17.265977197311848,5
G03: RO 125-150 TDS,male,13.1191946943912,12.337529934523756,5
G04: Telugu Ganga,female,13.59017366257215,12.50623973438048,5
G04: Telugu Ganga,male,13.642130295036276,13.453564188940467,5
G05: Kalyani Dam,female,17.091018864345564,17.019842410067103,5
G05: Kalyani Dam,male,18.44369442580132,18.16895009780877,5
G06: Ground Water,female,14.687673801168097,13.942504339488051,5
G06: Ground Water,male,12.951818240037284,12.472564815208152,5
G07: RO <20 (Fasting),female,13.017152060049284,13.634107978944288,5
G07: RO <20 (Fasting),male,12.42840290518753,11.158271235497097,5
G08: Kalyani (Fasting),female,11.278449789886015,11.158271235497097,5
G08: Kalyani (Fasting),male,12.109614086898075,11.158271235497097,5
G09: BIS Standard,female,17.680360263586614,17.803605879741756,5
G09: BIS Standard,male,14.262870177991967,13.730407144235057,5
G10: Ground (Fasting),female,9.506835984418931,9.058099224777493,5
G10: Ground (Fasting),male,10.284900216369318,9.61641118522865,5
G11: RO 125-150 (Fasting),female,10.589554874055398,9.61641118522865,5
G11: RO 125-150 (Fasting),male,12.069212276065041,12.202976211497521,5
