group_short,mean_cv,median_cv,std_cv,min_cv,max_cv,stable_count,total_rats,stable_percent
G01: RO <20 TDS,20.076753977197605,19.729162733134977,5.7400042428186255,13.952686748970375,29.13399591403855,3,10,30.0
G02: RO 50-75 TDS,16.721354985453797,17.695725545729317,3.379162144181979,12.373467843071772,22.030491629051856,4,10,40.0
G03: RO 125-150 TDS,15.368896164247184,14.186726374087833,3.827589525108174,12.21102678452963,24.64995234528659,6,10,60.0
G04: Telugu Ganga,13.616151978804211,13.151056439807068,1.5440318293187618,12.21989249025322,16.85429046692331,8,10,80.0
G05: Kalyani Dam,17.76735664507344,17.51723328321411,2.3153539822642877,14.608199355249743,21.39001309167093,1,10,10.0
G06: Ground Water,13.81974602060269,13.742487657918938,1.5135302687043626,12.247087403504207,16.434383851304275,8,10,80.0
G07: RO <20 (Fasting),12.722777482618408,13.030279880122276,1.9695522045950118,10.399628713133273,14.991463847924305,10,10,100.0
G08: Kalyani (Fasting),11.694031938392044,11.158271235497097,1.685537515563873,10.399628713133273,16.076805429873634,9,10,90.0
G09: BIS Standard,15.971615220789293,16.75764613349473,2.215830977887492,13.032799263126165,19.16507299496835,4,10,40.0
G10: Ground (Fasting),9.895868100394123,9.61641118522865,1.0622827119098386,9.058099224777493,12.203930515492088,10,10,100.0
G11: RO 125-150 (Fasting),11.32938357506022,10.791319822588878,1.9656037434022515,9.058099224777493,14.003862100984144,10,10,100.0
