group_short,gender,mean,std,sem,count,min,max,ci_lower,ci_upper
G01: RO <20 TDS,female,18.312613333333335,0.6096933006757489,0.2726631331474386,5,17.3738,18.819666666666667,17.778193592364357,18.847033074302313
G01: RO <20 TDS,male,19.044773333333332,0.851617731927496,0.3808550278868148,5,17.926066666666667,20.222466666666666,18.298297478675174,19.79124918799149
G02: RO 50-75 TDS,female,16.456466666666667,0.7211809188946818,0.32252191174485423,5,15.608133333333335,17.420133333333336,15.824323719646753,17.088609613686582
G02: RO 50-75 TDS,male,17.830493333333333,1.1569374424651397,0.5173981534133608,5,16.821266666666666,19.67,16.816392952643145,18.84459371402352
G03: RO 125-150 TDS,female,15.82444,0.6942405132389075,0.3104737960673079,5,14.979066666666666,16.756266666666665,15.215911359708075,16.43296864029192
G03: RO 125-150 TDS,male,19.525893333333336,1.4788157669041961,0.6613465161992532,5,17.097466666666666,20.839733333333335,18.2296541615828,20.82213250508387
G04: Telugu Ganga,female,17.088826666666666,0.5341817015044796,0.2388933193801036,5,16.225533333333335,17.649866666666664,16.620595760681663,17.55705757265167
G04: Telugu Ganga,male,19.16864,1.445525267545023,0.6464585522848484,5,17.6932,20.839733333333335,17.901581237521697,20.435698762478303
G05: Kalyani Dam,female,17.92204,0.9340541985226412,0.4177217365131419,5,16.501733333333334,19.095866666666666,17.10330539643424,18.740774603565757
G05: Kalyani Dam,male,19.321213333333333,2.2096552950881523,0.988187889331893,5,15.6298,21.116066666666665,17.384365070242822,21.258061596423843
G06: Ground Water,female,14.715440000000001,0.7715358025825283,0.34504130032987823,5,13.609733333333335,15.502133333333335,14.03915905135344,15.391720948646562
G06: Ground Water,male,16.519066666666667,0.7901756738571223,0.3533773041822458,5,15.927666666666665,17.395333333333333,15.826447150469466,17.21168618286387
G07: RO <20 (Fasting),female,9.228626666666667,0.8858412268071021,0.3961602400824979,5,8.2754,10.398466666666668,8.452152596104971,10.005100737228362
G07: RO <20 (Fasting),male,9.176626666666667,0.8710940319187388,0.38956509403293427,5,8.4054,10.528466666666667,8.413079082362117,9.940174250971218
G08: Kalyani (Fasting),female,10.051853333333334,0.6606723888080488,0.29546167444639365,5,9.271933333333333,10.658466666666667,9.472748451418402,10.630958215248265
G08: Kalyani (Fasting),male,9.878546666666667,0.6096829821035409,0.272658518541661,5,9.271933333333333,10.528466666666667,9.344135970325011,10.412957363008323
G09: BIS Standard,female,16.373946666666665,0.8838803506257054,0.3952833095950852,5,15.331933333333334,17.649866666666664,15.599191379860297,17.148701953473033
G09: BIS Standard,male,18.994080000000004,1.2331816604035093,0.5514956042536615,5,17.3738,20.541866666666667,17.913148615662827,20.07501138433718
G10: Ground (Fasting),female,9.96056,0.5475505650926985,0.2448720569331395,5,9.0496,10.5368,9.480610768411045,10.440509231588953
G10: Ground (Fasting),male,10.04148,1.0882139887601767,0.48666409058678944,5,9.0496,11.674133333333334,9.087618382449893,10.995341617550107
G11: RO 125-150 (Fasting),female,9.19616,0.6464588061121913,0.28910516702404326,5,8.316733333333334,10.072133333333333,8.629513872632876,9.762806127367126
G11: RO 125-150 (Fasting),male,9.54384,0.960246823131081,0.4294354343398629,5,8.316733333333334,10.6516,8.702146548693868,10.38553345130613
