group_short,gender,count,mean,median,std,min,max,q25,q75
G01: RO <20 TDS,female,5,149.6,153.0,17.401149387324967,122.0,165.0,145.0,163.0
G01: RO <20 TDS,male,5,241.6,237.0,27.682124195949992,212.0,285.0,226.0,248.0
G02: RO 50-75 TDS,female,5,155.2,147.0,13.863621460498694,147.0,179.0,147.0,156.0
G02: RO 50-75 TDS,male,5,244.8,241.0,22.982602115513377,215.0,279.0,240.0,249.0
G03: RO 125-150 TDS,female,5,228.0,244.0,25.347583711273153,191.0,248.0,212.0,245.0
G03: RO 125-150 TDS,male,5,243.6,232.0,23.45847394866086,222.0,269.0,226.0,269.0
G04: Telugu Ganga,female,5,152.2,155.0,14.939879517586474,127.0,167.0,155.0,157.0
G04: Telugu Ganga,male,5,244.4,240.0,14.604793733565705,225.0,263.0,240.0,254.0
G05: Kalyani Dam,female,5,144.2,129.0,33.995587949026564,128.0,205.0,129.0,130.0
G05: Kalyani Dam,male,5,250.0,252.0,18.601075237738275,229.0,269.0,233.0,267.0
G06: Ground Water,female,5,159.6,157.0,8.820430828479974,149.0,171.0,155.0,166.0
G06: Ground Water,male,5,251.8,242.0,32.01874451005224,214.0,288.0,233.0,282.0
G07: RO <20 (Fasting),female,5,47.0,45.0,6.442049363362563,40.0,56.0,43.0,51.0
G07: RO <20 (Fasting),male,5,55.0,52.0,7.54983443527075,47.0,64.0,50.0,62.0
G08: Kalyani (Fasting),female,5,86.8,78.0,17.767948671695333,71.0,108.0,73.0,104.0
G08: Kalyani (Fasting),male,5,117.0,120.0,11.726039399558575,97.0,128.0,119.0,121.0
G09: BIS Standard,female,5,146.2,143.0,7.190271204899023,141.0,158.0,141.0,148.0
G09: BIS Standard,male,5,209.8,207.0,6.9065186599328054,205.0,222.0,207.0,208.0
G10: Ground (Fasting),female,5,77.4,73.0,11.970797801316333,66.0,95.0,69.0,84.0
G10: Ground (Fasting),male,5,86.8,86.0,22.286767374386084,60.0,109.0,70.0,109.0
G11: RO 125-150 (Fasting),female,5,73.4,73.0,7.503332592921626,63.0,84.0,72.0,75.0
G11: RO 125-150 (Fasting),male,5,73.0,72.0,6.041522986797286,65.0,79.0,70.0,79.0
